Epsiode Cummulative Reward: 687.593268930912, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 397.9477546811104, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 99.90671461820602, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 3.3582099080085754, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 753.8475196361542, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -1.5437602996826172e-05, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 790.0186414122581, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 68.00373440980911, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 736.2186039090157, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 835.3544610142708, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 641.4178910851479, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 495.3358148932457, Episode Timestpes: 3485,
Epsiode Cummulative Reward: 23.50526338815689, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 635.4817337393761, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2763.805935025215, Episode Timestpes: 2923,
Epsiode Cummulative Reward: 1.9073486328125e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 3.2782554626464844e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -4.5299530029296875e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 786.5870373249054, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1170.3358014822006, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2213.6927313804626, Episode Timestpes: 4150,
Epsiode Cummulative Reward: 471.82835280895233, Episode Timestpes: 1600,
Epsiode Cummulative Reward: 805.9701256155968, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 603.6380479335785, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 721.175360918045, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 87.31342852115631, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 877.332070171833, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 690.11192882061, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1661.4738710522652, Episode Timestpes: 3563,
Epsiode Cummulative Reward: 5.066394805908203e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 735.4477527141571, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 762.3134019970894, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 514.6455196142197, Episode Timestpes: 458,
Epsiode Cummulative Reward: 1179.5708893537521, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1149.3469948768616, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 346.73507183790207, Episode Timestpes: 1769,
Epsiode Cummulative Reward: 852.1455097794533, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 407.1828318834305, Episode Timestpes: 3313,
Epsiode Cummulative Reward: 125.09328216314316, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 77.23880308866501, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1166.8687677383423, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 362.68656462430954, Episode Timestpes: 3260,
Epsiode Cummulative Reward: 795.0559566020966, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 754.757440328598, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 363.49220418930054, Episode Timestpes: 829,
Epsiode Cummulative Reward: 121.7350737452507, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2204.664154648781, Episode Timestpes: 3134,
Epsiode Cummulative Reward: 753.0783537626266, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1638.6530923247337, Episode Timestpes: 2247,
Epsiode Cummulative Reward: 443.28356885910034, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2149.253722667694, Episode Timestpes: 1954,
Epsiode Cummulative Reward: 2196.063777089119, Episode Timestpes: 3747,
Epsiode Cummulative Reward: 709.421616256237, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1179.5708771348, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 770.7089326381683, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 252.68164390325546, Episode Timestpes: 4500,
