Epsiode Cummulative Reward: 39.45528119802475, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 450.8395387530327, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2161.8469946980476, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -1.7821788787841797e-05, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 722.8544583916664, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 784.9813281297684, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 967.1641570329666, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 884.8880500793457, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 14.272387325763702, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 366.04476726055145, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 750.5596985816956, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -3.2782554626464844e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1.3232231140136719e-05, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1049.4402813315392, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 261.9158690571785, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2.1457672119140625e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 758.1156601309776, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 115.84740871191025, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2129.7453145980835, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 762.3134164214134, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1190.3739897608757, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 750.4896764755249, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1187.126838505268, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 5.364418029785156e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 752.2387917637825, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 734.6081937551498, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1242.5372947454453, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1139.272366642952, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1109.0484995245934, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 924.3469940423965, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2209.7014521360397, Episode Timestpes: 4476,
Epsiode Cummulative Reward: 751.3291444182396, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 692.6305772662163, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2767.164149940014, Episode Timestpes: 3492,
Epsiode Cummulative Reward: 2204.664157152176, Episode Timestpes: 2688,
Epsiode Cummulative Reward: 1654.7574402093887, Episode Timestpes: 3761,
Epsiode Cummulative Reward: 2189.5522046089172, Episode Timestpes: 3304,
Epsiode Cummulative Reward: 1640.3320187926292, Episode Timestpes: 2540,
Epsiode Cummulative Reward: -3.3974647521972656e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 753.9178955554962, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 434.048501431942, Episode Timestpes: 779,
Epsiode Cummulative Reward: 834.5149177908897, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 706.8370106816292, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1161.8318996429443, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1183.7686258554459, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1210.634293794632, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1683.3022211790085, Episode Timestpes: 1089,
Epsiode Cummulative Reward: 2219.7760959267616, Episode Timestpes: 2882,
Epsiode Cummulative Reward: 1193.0037216544151, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1193.0037043690681, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1077.9850534796715, Episode Timestpes: 1502,
